subject;session;trial;mode;time;distance;grid_distance;grid_backtracking;status;time_stamp
test;0;vr_adaptation;VR;25,95569;50,20792;20;3;success;18/05/2022 14:19
test;0;vr_training;VR;7,648385;0;1;2;training;18/05/2022 14:19
test;0;vr_maze_vr;VR;52,65761;224,9933;93;6;success;18/05/2022 14:20
test;0;vr_maze_vr;VR;52,65761;224,9933;93;6;success;18/05/2022 14:20
test;0;vr_maze_vr;VR;45,24015;200,0649;91;2;success;18/05/2022 14:20
test;0;vr_maze_vr;VR;42,38732;198,8475;89;2;success;18/05/2022 14:21
test;0;vr_maze_vr;VR;42,38732;198,8475;89;2;success;18/05/2022 14:21
testd;0;adaptation;Desktop;12,45327;48,68705;17;0;success;18/05/2022 14:24
testd;0;training;Desktop;17,95328;39,17009;16;0;training;18/05/2022 14:24
testd;0;vr_maze;Desktop;52,60341;204,6676;92;1;success;18/05/2022 14:25
daniela;0;vr_adaptation;VR;143,1191;51,19937;21;4;success;19/05/2022 14:18
daniela;0;vr_training;VR;330,0117;285,5678;62;60;training;19/05/2022 14:23
daniela;0;vr_maze_vr;VR;372,5192;439,7867;137;46;success;19/05/2022 14:30
daniela;0;vr_maze_vr;VR;443,0731;550,6241;160;87;success;19/05/2022 14:38
daniela;0;vr_maze_vr;VR;600,0106;836,9688;125;233;fail;19/05/2022 14:48
